Station,Datum,Maxgemiddeld,Mingemiddeld,Maxwindstoot
280,20160111,   50,   20,   90
280,20160112,   60,   40,  110
280,20160113,   60,   20,  100
280,20160114,   70,   30,  120
280,20160115,   50,   10,   90
280,20160116,   60,   10,  140
280,20160117,   40,   10,  130
280,20160118,   40,   10,   60
280,20160119,   60,   10,   80
280,20160120,   40,   10,   70
280,20160121,   40,   10,   60
280,20160122,   60,   30,   90
280,20160123,   50,   30,  100
280,20160124,   60,   40,   90
280,20160125,  100,   40,  160
280,20160126,  120,   40,  190
280,20160127,  120,   50,  190
280,20160128,   80,   40,  130
280,20160129,  130,   80,  200
280,20160130,  130,   40,  190
280,20160131,   80,   20,  190
280,20160201,  130,   20,  200
280,20160202,  120,   80,  200
280,20160203,   80,   30,  170
280,20160204,   70,   20,  140
280,20160205,   70,   30,  110
280,20160206,   70,   50,  110
280,20160207,  110,   60,  180
280,20160208,  130,   90,  230
280,20160209,  120,   20,  190
280,20160210,   70,   40,  140
280,20160211,   60,   20,  110
280,20160212,   30,   10,   50
280,20160213,   70,   30,  120
280,20160214,   80,   50,  150
280,20160215,   70,   10,  130
280,20160216,   30,    0,   50
280,20160217,   50,   10,   80
280,20160218,   60,   10,   90
280,20160219,   80,   30,  120
280,20160220,  100,   30,  160
280,20160221,  140,   20,  210
280,20160222,  120,   30,  180
280,20160223,   70,   20,  140
280,20160224,   50,   20,  130
280,20160225,   60,   20,  130
280,20160226,   40,   10,   50
280,20160227,   60,   20,   90
280,20160228,   50,   10,   90
280,20160229,   50,   10,   80
280,20160301,   80,    0,  140
280,20160302,   70,   20,  150
280,20160303,   60,   10,  100
280,20160304,   70,   20,  140
280,20160305,   30,    0,   50
280,20160306,   50,    0,   90
280,20160307,   40,   20,   70
280,20160308,   50,   20,   90
280,20160309,   70,   20,  120
280,20160310,   60,   20,  100
280,20160311,   40,   10,   60
280,20160312,   40,   10,   70
280,20160313,   60,   10,   90
280,20160314,   40,    0,   60
280,20160315,   50,   20,   80
280,20160316,   70,   20,  120
280,20160317,   50,   10,   70
280,20160318,   60,   40,  100
280,20160319,   60,   30,   90
280,20160320,   60,   30,   90
280,20160321,   60,   30,  100
280,20160322,   70,   30,  120
280,20160323,   60,   20,  110
280,20160324,   50,   10,  100
280,20160325,   60,   10,  100
280,20160326,   90,   10,  130
280,20160327,   80,   40,  160
280,20160328,  150,   50,  220
280,20160329,   80,   30,  130
280,20160330,   80,   10,  140
280,20160331,   60,    0,   80
280,20160401,   30,    0,   70
280,20160402,   40,   10,   70
280,20160403,   50,   20,   80
280,20160404,  100,   10,  180
280,20160405,   50,   10,  100
280,20160406,  100,   40,  170
280,20160407,  100,   40,  160
280,20160408,   40,   10,   80
280,20160409,   50,   10,   80
280,20160410,   60,   10,   80
280,20160411,   80,   40,  140
280,20160412,   60,   20,  110
280,20160413,   50,    0,   80
280,20160414,   50,    0,   90
280,20160415,   40,   10,   70
280,20160416,  120,   20,  180
280,20160417,   70,   20,  110
280,20160418,   80,   30,  130
280,20160419,   70,   20,  120
280,20160420,   40,    0,   80
280,20160421,   50,    0,   70
280,20160422,   50,   10,  100
280,20160423,   90,   20,  140
280,20160424,   80,   20,  150
280,20160425,   90,   20,  160
280,20160426,   70,   30,  130
280,20160427,   70,   10,  130
280,20160428,   70,   20,  130
280,20160429,   90,   40,  160
280,20160430,   60,   10,  100
280,20160501,   40,   10,   70
280,20160502,   60,   10,  100
280,20160503,   70,   10,  120
280,20160504,   30,   10,   60
280,20160505,   60,   20,   90
280,20160506,   60,   20,  110
280,20160507,   50,   20,  110
280,20160508,   70,   30,  130
280,20160509,   80,   30,  150
280,20160510,   70,   30,  130
280,20160511,   60,   30,  120
280,20160512,   80,   30,  140
280,20160513,   70,   20,  130
280,20160514,   80,   30,  190
280,20160515,   80,   20,  140
280,20160516,   60,   20,  110
280,20160517,   40,   10,   70
280,20160518,   60,   10,  100
280,20160519,   40,   10,   70
280,20160520,   60,   20,  100
280,20160521,   70,   20,  110
280,20160522,   60,   10,  100
280,20160523,   70,   30,  120
280,20160524,   60,   20,  100
280,20160525,   30,   10,   40
280,20160526,   40,   10,   70
280,20160527,   40,   20,   70
280,20160528,   50,   20,   80
280,20160529,   50,   30,  110
280,20160530,   70,   20,  120
280,20160531,   40,   10,   70
280,20160601,   80,   10,  140
280,20160602,   60,   20,   90
280,20160603,   40,   10,  130
280,20160604,   60,   20,  100
280,20160605,   50,   20,   70
280,20160606,   40,   20,   60
280,20160607,   50,   10,   80
280,20160608,   60,   20,   90
280,20160609,   50,   20,   90
280,20160610,   40,   10,   80
280,20160611,   30,   10,   50
280,20160612,   30,   10,   40
280,20160613,   40,   10,   70
280,20160614,   50,   10,  100
280,20160615,   40,   10,   70
280,20160616,   30,   10,   60
280,20160617,   50,   10,   90
280,20160618,   50,   20,   90
280,20160619,   40,   10,   70
280,20160620,   70,   30,  130
280,20160621,   50,   20,   80
280,20160622,   50,   10,   90
280,20160623,   30,   10,   70
280,20160624,   60,   10,   90
280,20160625,   30,    0,   50
280,20160626,   60,   20,  110
280,20160627,   70,   20,  110
280,20160628,   40,   10,   70
280,20160629,   90,   10,  150
280,20160630,   60,   10,  100
280,20160701,   90,   30,  130
280,20160702,   80,   30,  150
280,20160703,   60,   10,  100
280,20160704,   50,   10,   80
280,20160705,   90,   10,  160
280,20160706,   60,   20,  110
280,20160707,   60,   10,  100
280,20160708,   70,   10,  120
280,20160709,   70,   10,  110
280,20160710,   80,   30,  120
280,20160711,  100,   40,  160
280,20160712,   60,   10,  110
280,20160713,   50,    0,  100
280,20160714,   80,   10,  120
280,20160715,   60,   20,  100
280,20160716,   60,   30,   90
280,20160717,   60,   20,   90
280,20160718,   50,   10,   90
280,20160719,   40,    0,   60
280,20160720,   60,   10,  110
280,20160721,   50,   10,  160
